mouseNumber,wave,Batch,birthdate,sex,coat color,6 wk glu,6 wk ins,6 wk TG (triglicerides),10 wk glu,10 wk ins,10 wk TG,14 wk glu,14 wk ins,14 wk TG,GTT (glucose tolerance test) date,GTT (glucose tolerance test) weight (grams),sac date,sac wk glu,sac wk ins,sac wk TG
DO021,1,Batch1,5/29/2014,F,agouti,97.513301,0.6347,122.161824,108.10032,0.204566667,115.3241,68.591315,0.402829305,89.6396,9/22/2014,22.1,10/20/2014,84.882187,0.6037,46.11045
DO022,1,Batch3,5/30/2014,F,agouti,108.320515,1.9161,200.1304,123.5356,1.5302,138.366245,91.856905,1.534851318,131.7712,9/22/2014,27.3,10/20/2014,172.104462,0.368,106.27059
DO023,1,Batch3,5/31/2014,F,agouti,107.461998,0.4501,153.554528,103.89536,1.017033333,162.89498,95.091135,1.81431519,212.291,9/22/2014,32.1,10/20/2014,89.62083,0.123,79.41465
DO024,1,Batch2,6/1/2014,F,white,98.97783,0.319130142,135.964704,109.12592,0.843033333,111.607625,95.404125,0.914757519,130.4867,9/22/2014,19.4,10/20/2014,152.264649,0.4318,120.97404
DO025,1,Batch3,6/2/2014,F,agouti,147.509291,0.42115,103.651808,106.76704,0.245033333,135.817805,70.260595,0.257830755,174.0129,9/22/2014,21.7,10/22/2014,199.859371,off curve lo,74.84418
DO026,1,Batch1,6/3/2014,F,black,122.511296,1.32445,101.138976,129.02256,1.697166666,116.492135,105.524135,2.250844158,147.1852,9/22/2014,28.8,10/22/2014,141.329319,0.64955,88.55559
DO027,1,Batch2,6/4/2014,F,agouti,72.161799,0.1942,79.337504,113.536,0.434,116.59832,94.256495,0.89932434,104.4297,9/22/2014,24.4,10/22/2014,172.625192,0.61845,129.86697
DO028,1,Batch2,6/5/2014,F,agouti,109.886046,0.80365,79.585248,112.10016,0.3601,81.13253,69.112965,0.514228191,87.2908,9/22/2014,22.1,10/22/2014,167.313746,0.3743,28.50174
DO030,1,Batch2,6/7/2014,F,agouti,114.532138,1.0864,111.685792,136.8684,0.566533333,106.1214,94.93464,1.238087619,136.2853,9/22/2014,25.6,10/24/2014,144.193334,0.42275,104.10936
DO031,1,Batch1,6/8/2014,F,agouti,143.368209,1.45615,93.812832,119.84344,2.5932,106.40456,116.791775,1.894047726,125.679,9/24/2014,24.4,10/24/2014,119.354513,0.2354,48.90942
DO032,1,Batch1,6/9/2014,F,agouti,92.160195,0.39975,106.412384,149.32944,0.735333333,150.7191,121.903945,1.192521408,117.4215,9/24/2014,32.6,10/24/2014,250.734692,0.1147,109.28214
DO033,1,Batch3,6/10/2014,F,agouti,125.288851,1.33395,77.85104,104.8184,0.595566667,80.955555,99.472995,0.841258254,104.76,9/24/2014,21.1,10/24/2014,52.180343,0.54675,41.11482
DO034,1,Batch3,6/11/2014,F,agouti,102.108892,0.253697463,67.091872,130.04816,0.2983,97.27265,96.238765,0.779158875,107.7327,9/24/2014,25.6,10/28/2014,203.764846,0.30425,96.9525
DO035,1,Batch3,6/12/2014,F,black,117.865204,0.3498,88.964128,109.33104,0.294233333,110.616565,111.262285,0.445795542,131.0372,9/24/2014,18.8,10/28/2014,155.024518,0.3726,66.34098
DO036,1,Batch1,6/13/2014,F,agouti,92.513702,0.7597,145.485152,118.20248,0.454533333,121.27046,101.19444,0.538561281,149.0202,9/24/2014,21.4,10/28/2014,144.29748,0.35115,53.76333
DO037,1,Batch1,6/14/2014,F,white,99.028331,0.70045,132.0008,109.33104,1.2227,122.226125,99.00351,1.338486615,148.6899,9/24/2014,31,10/28/2014,129.612894,0.17745,122.63925
DO038,1,Batch2,6/15/2014,F,black,130.995464,1.268,171.427488,128.76616,1.1182,148.24145,108.49754,1.433685663,145.9007,9/24/2014,29.8,10/30/2014,252.192736,0.87705,74.34816
DO039,1,Batch2,6/16/2014,F,agouti,112.815104,2.134,109.137568,126.76624,2.165066666,120.35019,104.793825,1.183121502,90.9608,9/24/2014,20.5,10/30/2014,130.966792,0.25915,47.84652
DO040,1,Batch1,6/17/2014,F,agouti,79.484444,0.076,115.72048,114.40776,0.530866667,118.474255,86.69257,0.366762999,136.1752,9/24/2014,27.1,10/30/2014,84.465603,0.2248,54.71994
DO041,1,Batch2,6/18/2014,F,white,70.747771,0.2792,97.4936,107.69008,0.2711,80.530815,104.480835,0.62732706,111.8798,9/26/2014,20.1,10/30/2014,148.98405,0.40435,75.48192
DO042,1,Batch1,6/19/2014,F,agouti,92.109694,0.545,110.553248,127.94568,0.9151,157.762705,91.07443,1.139021943,204.9143,9/26/2014,27.9,11/3/2014,216.69152,0.16836,145.249566
DO043,1,Batch1,6/20/2014,F,agouti,153.619912,1.25725,111.898144,135.94536,0.762866667,104.77639,112.98373,1.365953007,102.5947,9/26/2014,28.9,11/3/2014,189.411512,0.07596,152.413168
DO044,1,Batch1,6/21/2014,F,white,115.895665,1.62,124.993184,103.07488,0.859633333,111.35986,94.152165,1.056589434,143.3684,9/26/2014,24.3,11/3/2014,208.661288,0.20496,173.507996
DO046,1,Batch1,6/23/2014,F,agouti,123.72332,0.6562,79.08976,127.79184,0.751666667,151.56858,105.99362,0.773725596,75.4,9/26/2014,22,11/3/2014,198.979448,0.1974,73.685542
DO047,1,Batch2,6/24/2014,F,agouti,105.744964,1.18965,98.661536,102.66464,0.845,126.190365,86.849065,1.461918714,80.4646,9/26/2014,19.8,11/5/2014,122.663768,0.10428,63.426112
DO048,1,Batch1,6/25/2014,F,agouti,127.308891,1.68175,178.682848,133.58648,4.292633333,172.16847,91.961235,2.9305,128.5049,9/26/2014,30.6,11/5/2014,202.795232,0.14192,69.905752
DO049,1,Batch1,6/26/2014,F,agouti,130.540955,2.6248,94.060576,136.3556,1.0905,122.580075,38.335615,0.880191198,96.8695,9/26/2014,26.5,11/5/2014,211.964504,0.13816,120.590936
DO050,1,Batch2,6/27/2014,F,agouti,79.78745,0.081232521,127.789152,106.15168,0.358166667,139.852835,100.98578,0.735359313,149.0569,9/26/2014,21.1,11/5/2014,123.119384,0.35864,169.368226
DO051,1,Batch2,6/28/2014,F,agouti,139.631135,0.8779,133.664224,127.99696,0.465266667,137.799925,106.6196,1.209021243,143.2216,9/30/2014,37.7,11/7/2014,184.456688,0.34348,111.807424
DO052,1,Batch1,6/29/2014,F,black,97.311297,0.06055,61.818464,104.97224,0.224933333,91.432475,88.205355,0.376296237,101.2001,9/30/2014,17.9,11/7/2014,164.181776,0.10196,85.276898
DO053,1,Batch3,6/30/2014,F,agouti,110.138551,1.3403,125.665632,137.79144,0.513433333,126.119575,90.083295,0.876291237,112.0633,9/30/2014,32,11/7/2014,115.658672,0.17912,101.655988
DO054,1,Batch1,7/1/2014,F,agouti,113.825124,0.89855,95.936352,118.20248,0.3938,97.69739,104.42867,0.532961337,100.7964,9/30/2014,22.4,11/7/2014,168.225368,0.02436,99.28012
DO055,1,Batch1,7/2/2014,F,agouti,84.433542,0.078099219,122.586528,120.15112,0.1158,150.29436,125.92065,0.703492965,164.3241,9/30/2014,25.8,11/11/2014,95.839376,0.08146,71.38167
DO056,1,Batch3,7/3/2014,F,white,94.786247,0.2299,82.98288,107.22856,0.403066667,115.217915,105.5763,0.49199508,108.9805,9/30/2014,21.8,11/11/2014,138.66728,0.19808,66.053966
DO057,1,Batch1,7/4/2014,F,black,97.109293,0.61435,87.654624,83.99872,0.160133333,114.934755,71.56472,0.12866538,98.2274,9/30/2014,21.4,11/11/2014,132.801224,0.08456,67.277898
DO058,1,Batch1,7/5/2014,F,agouti,84.484043,0.515,74.276448,80.9732,0.248433333,94.971975,56.697695,0.251397486,100.6863,9/30/2014,15.6,11/11/2014,91.169312,0.08116,40.42339
DO059,1,Batch3,7/6/2014,F,agouti,120.339753,0.75155,108.181984,118.20248,0.393466667,155.709795,87.21422,0.816858498,139.2947,9/30/2014,22.5,11/13/2014,203.193896,0.12892,65.98197
DO060,1,Batch1,7/7/2014,F,agouti,67.869214,0.437,79.372896,95.94696,0.595933333,90.33523,64.731105,0.57199428,92.2086,9/30/2014,20.4,11/13/2014,81.943088,0.1053,63.28212
DO061,1,Batch12,7/8/2014,F,black,93.170215,2.1073,188.415648,117.02304,2.9314,217.89881,107.55857,4.4001,159.1127,10/2/2014,45.4,11/13/2014,194.992808,0.4298,83.80098
DO062,1,Batch3,7/9/2014,F,agouti,119.430735,0.62665,112.429024,151.43192,0.322933333,158.258235,106.463105,0.601760649,163.0029,10/2/2014,23.6,11/13/2014,174.091424,0.0776,57.774426
DO063,1,Batch2,7/10/2014,F,agouti,76.353382,0.344296557,85.177184,74.71704,0.187533333,74.230505,74.06864,0.616960497,114.6323,10/2/2014,20,11/17/2014,165.833384,0.10108,84.124962
DO064,1,Batch3,7/11/2014,F,black,96.654784,0.127765389,164.986144,119.53576,0.646566667,144.878925,113.60971,0.857458092,111.9532,10/2/2014,23.3,11/17/2014,170.332592,0.06588,67.529884
DO065,1,Batch2,7/12/2014,F,agouti,126.349372,2.72845,94.166752,103.94664,0.8196,70.620215,74.433795,1.038222951,76.8313,10/2/2014,30.7,11/17/2014,133.370744,0.05396,62.02219
DO066,1,Batch1,7/13/2014,F,agouti,63.172621,0.308363583,95.01616,98.9212,0.490533333,89.591935,74.955445,0.387796122,67.1792,10/2/2014,18.8,11/17/2014,140.37584,0.08584,152.809146
DO067,1,Batch2,7/14/2014,F,black,120.087248,0.201464652,98.696928,113.48472,0.2964,124.632985,103.124545,0.499928334,110.9623,10/2/2014,23.4,11/19/2014,209.344712,0.07148,76.709374
DO068,1,Batch1,7/15/2014,F,white,135.591055,1.13475,118.7288,144.20144,0.7266,184.804485,131.03282,0.71432619,168.6547,10/2/2014,21.1,11/19/2014,152.221856,0.05312,69.509774
DO069,1,Batch3,7/16/2014,F,agouti,80.948973,0.6543,169.127008,98.61352,0.244433333,119.85466,65.044095,0.217931154,131.1473,10/2/2014,27.3,11/19/2014,55.460408,0.09356,85.744872
DO070,1,Batch2,7/17/2014,F,agouti,112.562599,0.85815,133.451872,100.15192,0.330566667,99.67951,106.254445,0.631893681,84.8319,10/2/2014,21.7,11/19/2014,137.357384,0.0586,61.878198
DO071,1,Batch1,7/18/2014,M,agouti,104.987449,1.0317,170.648864,163.68784,1.6999,275.415685,105.837125,2.3382,194.1612,9/23/2014,28.9,10/21/2014,216.991388,0.17985,54.36564
DO072,1,Batch1,7/19/2014,M,agouti,154.781435,2.9526,93.742048,158.25216,7.87595,132.632255,128.685395,7.0705,126.7433,9/23/2014,53,10/21/2014,242.090574,3.5117,64.85292
DO073,1,Batch3,7/20/2014,M,agouti,118.067208,1.2497,107.084832,108.30544,0.5922,111.00591,113.71404,2.11715,95.9887,9/23/2014,27.6,10/21/2014,109.40857,0.06834,91.53171
DO074,1,Batch3,7/21/2014,M,black,138.823119,1.36235,135.787744,149.89352,0.64285,129.517495,120.91281,1.4116,219.2273,9/23/2014,30.6,10/21/2014,147.109422,0.8504,47.81109
DO075,1,Batch1,7/22/2014,M,agouti,129.227929,1.9352,113.915488,138.86832,2.15755,157.30257,126.96395,3.77355,185.4266,9/23/2014,47.5,10/23/2014,266.044154,0.15875,83.20566
DO076,1,Batch3,7/23/2014,M,agouti,137.762598,2.1561,168.950048,135.8428,1.49595,180.73406,123.990545,2.13665,147.2953,9/23/2014,32.6,10/23/2014,205.22289,0.26185,147.6174
DO078,1,Batch3,7/25/2014,M,black,127.611897,1.81495,178.0104,164.45704,1.91075,214.607075,140.42252,2.30865,212.5846,9/23/2014,38,10/23/2014,163.668636,0.69465,137.41356
DO079,1,Batch3,7/26/2014,M,agouti,162.710092,1.3043,164.950752,181.02048,1.50855,186.822,160.610375,1.455,151.5525,9/23/2014,37.1,10/23/2014,253.911145,0.09156,120.79689
DO080,1,Batch2,7/27/2014,M,agouti,125.692859,1.43125,102.696224,163.32888,1.69705,169.40766,143.23943,1.19615,203.7032,9/23/2014,25.7,10/27/2014,236.258398,0.09218,128.69778
DO081,1,Batch2,7/28/2014,M,white,125.187849,1.16405,178.576672,133.74032,0.74915,187.423715,123.260235,1.3108,151.3323,9/25/2014,28,10/27/2014,222.198688,0.3453,126.11139
DO082,1,Batch3,7/29/2014,M,agouti,140.38865,1.2226,108.783648,107.84392,1.10365,127.606165,80.01545,1.48105,138.4506,9/25/2014,26.1,10/27/2014,162.314738,0.54675,52.27527
DO083,1,Batch3,7/30/2014,M,agouti,130.742959,1.74945,196.024928,149.6884,3.27825,296.75887,134.99736,1.3989,209.9422,9/25/2014,50.2,10/27/2014,162.991687,1.03805,86.04006
DO084,1,Batch1,7/31/2014,M,agouti,141.146165,1.89385,176.170016,164.40576,1.2755,279.62769,133.7454,1.977,208.9513,9/25/2014,34.1,10/29/2014,209.128365,0.47365,118.31679
DO085,1,Batch3,8/1/2014,M,agouti,148.367808,2.1401,134.265888,157.8932,2.82045,271.41605,154.08975,4.7553,154.4518,9/25/2014,48.4,10/29/2014,167.157527,9.5404,78.45804
DO086,1,Batch2,8/2/2014,M,agouti,116.552178,0.782,111.402656,156.30352,0.7427,228.977445,114.44435,0.5316,117.5316,9/25/2014,23.2,10/29/2014,134.195318,0.360133351,153.42792
DO087,1,Batch2,8/3/2014,M,agouti,198.161794,1.3812,209.261536,156.0984,0.96985,152.241085,123.468895,1.4394,200.8406,9/25/2014,25.6,10/29/2014,197.568159,0.14145,111.76224
DO088,1,Batch1,8/4/2014,M,agouti,139.075624,2.1025,222.745888,186.61,6.3615,237.330665,152.5248,9.2177,224.6589,9/25/2014,45,10/31/2014,134.611902,10.606,157.36065
DO089,1,Batch2,8/5/2014,M,agouti,109.886046,1.03415,130.974432,163.12376,2.10145,183.034735,127.537765,3.01195,210.7129,9/25/2014,36.6,10/31/2014,196.005969,1.588407942,91.49628
DO090,1,Batch3,8/6/2014,M,agouti,114.986647,1.29795,158.89872,126.76624,0.37405,135.64083,103.28104,0.4912,140.9462,9/25/2014,24.3,10/31/2014,147.94259,0.0971,39.34332
DO091,1,Batch1,8/7/2014,M,agouti,132.055985,1.4572,268.43696,125.43296,0.4071,150.046595,110.89713,1.9686,191.4821,9/29/2014,30,10/31/2014,149.140269,1.053405267,90.07908
DO092,1,Batch3,8/8/2014,M,agouti,119.582238,0.8999,93.175776,145.0732,1.326,123.641925,150.281705,2.05555,132.5419,9/29/2014,27,11/4/2014,202.339616,0.2632,73.18157
DO093,1,Batch2,8/9/2014,M,black,168.517707,3.2431,117.31312,153.58568,11.8168,127.676955,128.63323,28.2986,109.164,9/29/2014,53.5,11/4/2014,285.03392,0.9785,88.516718
DO094,1,Batch3,8/10/2014,M,agouti,133.621516,2.1401,286.946976,124.61248,0.71045,250.780765,139.37922,1.0585,144.6529,9/29/2014,25,11/4/2014,80.633192,0.1494,43.8432
DO095,1,Batch2,8/11/2014,M,agouti,184.930532,3.3743,207.2088,174.09768,4.64745,232.69392,130.30251,9.2824,120.7979,9/29/2014,41.9,11/4/2014,80.633192,0.3273,107.01969
DO096,1,Batch2,8/12/2014,M,agouti,172.961795,1.4634,223.064416,209.58344,2.3359,262.390325,170.313065,10.4983,253.9822,9/29/2014,37.7,11/6/2014,208.832144,13.8031,115.263232
DO097,1,Batch3,8/13/2014,M,agouti,127.157388,0.77885,159.854304,138.61192,0.50975,101.980185,121.2258,0.50515,243.1924,9/29/2014,24.9,11/6/2014,93.561296,0.10588,56.838478
DO098,1,Batch3,8/14/2014,M,agouti,144.378229,1.63565,147.113184,127.638,0.36475,91.68024,128.581065,1.14305,148.5431,9/29/2014,26,11/6/2014,114.007064,0.21574,50.538828
DO099,1,Batch1,8/15/2014,M,agouti,185.132536,1.968,264.260704,176.8668,1.9455,184.096585,123.83405,2.1332,182.3071,9/29/2014,36.7,11/6/2014,237.991568,0.0804,104.85981
DO100,1,Batch3,8/16/2014,M,agouti,176.951374,1.38955,141.131936,139.27856,4.75955,227.1723,109.43651,1.3752,138.6341,9/29/2014,33.1,11/10/2014,295.513088,0.3958,110.763482
DO101,1,Batch2,8/17/2014,M,agouti,133.571015,1.96685,130.832864,132.97112,0.4202,146.54249,102.34207,0.6622,139.6617,10/1/2014,31.6,11/10/2014,153.19004,0.24296,102.087964
DO102,1,Batch1,8/18/2014,M,black,182.657987,1.6117,141.415072,149.12432,2.59075,167.673305,131.293645,3.6108,257.7256,10/1/2014,37.1,11/10/2014,143.451248,0.33292,109.971526
DO103,1,Batch2,8/19/2014,M,agouti,129.177428,1.13475,121.418592,134.66336,0.4825,212.58956,97.073405,0.1562,91.4012,10/1/2014,21.7,11/10/2014,164.8652,0.04528,53.490664
DO104,1,Batch1,8/20/2014,M,agouti,160.690052,1.8389,156.492064,182.61016,4.83415,156.205325,151.012015,3.877,170.5264,10/1/2014,45.7,11/12/2014,190.20884,0.7804,124.694708
DO105,1,Batch2,8/21/2014,M,agouti,194.273217,1.91165,151.147872,181.02048,3.07035,125.58865,140.787675,5.8258,98.0072,10/1/2014,45.6,11/12/2014,309.067664,1.3886,99.82009
DO106,1,Batch3,8/22/2014,M,agouti,116.65318,1.07235,153.448352,119.84344,0.28455,99.11319,68.12183,0.249,101.09,10/1/2014,35.3,11/12/2014,73.17248,0.19212,96.508274
DO107,1,Batch3,8/23/2014,M,agouti,154.52893,0.66195,92.1848,152.09856,0.493,105.76745,131.45014,0.48755,119.8804,10/1/2014,26.9,11/12/2014,224.721752,0.13416,88.048744
DO108,1,Batch1,8/24/2014,M,agouti,150.48885,2.075,120.604576,156.66248,2.03205,187.494505,109.33218,3.6601,142.561,10/1/2014,39.3,11/14/2014,226.430312,0.20068,116.523162
DO109,1,Batch2,8/25/2014,M,agouti,134.985043,1.87285,202.572448,112.5104,1.4424,183.63645,117.78291,1.1948,207.1897,10/1/2014,23.2,11/14/2014,118.392368,0.05644,77.357338
DO111,1,Batch2,8/27/2014,M,agouti,139.429131,1.50175,214.2872,131.07376,2.06585,147.1796,109.12352,2.9636,201.0608,10/6/2014,36,11/14/2014,142.881728,0.21992,116.955138
DO112,1,Batch3,8/28/2014,M,agouti,117.814703,1.13475,102.413088,110.7156,0.3235,86.51257,119.087035,1.24635,110.3384,10/6/2014,27.9,11/14/2014,150.34244,0.07752,48.450944
DO113,1,Batch3,8/29/2014,M,agouti,127.813901,1.24215,219.914528,127.84312,0.76525,145.091295,96.60392,0.98235,218.9337,10/6/2014,23.6,11/18/2014,168.737936,0.17708,123.650766
DO114,1,Batch2,8/30/2014,M,agouti,110.391056,1.0183,67.127264,187.84072,0.99675,164.204595,96.39526,0.57455,80.0976,10/6/2014,29.4,11/18/2014,189.696272,0.08584,65.298008
DO115,1,Batch3,8/31/2014,M,agouti,131.500474,1.09455,117.49008,125.8432,0.7615,101.484655,69.530285,0.9298,110.0081,10/6/2014,26.6,11/18/2014,123.404144,0.06964,73.937528
DO116,1,Batch1,9/1/2014,M,agouti,157.811495,1.44575,91.47696,164.3032,1.7334,252.23196,147.93428,1.4511,134.7072,10/6/2014,24.2,11/18/2014,118.791032,0.06988,75.593436
DO118,1,Batch2,9/3/2014,M,agouti,204.373417,1.8128,134.725984,171.02088,2.92005,170.150955,168.539455,4.50895,110.6687,10/6/2014,49.2,11/20/2014,245.907896,0.4935,78.58127
DO119,1,Batch2,9/4/2014,M,agouti,155.488449,1.93745,134.619808,141.68872,1.2631,195.38759,122.738585,1.57735,142.4509,10/6/2014,29,11/20/2014,73.742,0.06748,73.577548
DO120,1,Batch2,9/5/2014,M,black,116.855184,0.5931,153.483744,116.40768,0.2472,134.72056,95.1433,0.45145,101.4203,10/6/2014,19.9,11/20/2014,67.363376,0.1181,65.477998
DO121,2,Batch6,10/15/2014,F,agouti,149.374256,0.8442,139.2379,60.12283,0.695733333,120.88583,105.822848,0.212099788,211.878624,2/9/2015,24.5,3/9/2015,115.740883,0.157699842,57.639435
DO122,2,Batch5,10/15/2014,F,agouti,95.326808,1.481575,202.05441,74.487115,0.709666666,132.7588,82.242928,0.533966133,121.144176,2/9/2015,18.9,3/9/2015,191.43122,0.282166385,67.847716
DO123,2,Batch5,10/15/2014,F,agouti,97.490984,0.408725,79.373226,98.03989,0.761066666,142.69479,119.71168,0.682999317,93.352632,2/9/2015,24.7,3/9/2015,132.515773,0.555999444,74.90623
DO124,2,Batch4,10/15/2014,F,agouti,116.968568,2.0537,143.449666,80.069995,1.309633332,145.20569,96.90912,1.419398581,141.42944,2/9/2015,25.1,3/9/2015,135.819918,0.234066433,107.352625
DO125,2,Batch4,10/15/2014,F,white,108.027104,1.246475,125.882642,76.17361,0.612366666,98.07251,72.603664,0.534366132,101.70108,2/9/2015,23.2,3/11/2015,166.472217,0.36009964,93.690985
DO126,2,Batch5,10/15/2014,F,agouti,148.975592,1.3875,172.428056,122.5813,0.978866666,165.29289,162.46648,1.599265067,179.180536,2/9/2015,29.1,3/11/2015,197.480347,0.195733138,116.118844
DO128,2,Batch5,10/15/2014,F,white,107.115872,1.2042,274.302396,112.69495,1.133799999,261.56797,76.283168,0.609166058,146.445832,2/9/2015,21.8,3/11/2015,172.673843,0.204333129,135.548732
DO129,2,Batch4,10/15/2014,F,white,94.643384,0.830975,181.139572,101.76181,1.417799999,148.97204,124.11672,2.115764551,118.105048,2/9/2015,23.6,3/11/2015,170.58969,0.4663662,84.279633
DO130,2,Batch5,10/15/2014,F,agouti,96.351944,1.1899,150.361282,85.12948,1.073799999,100.69102,86.907088,0.927032406,105.472528,2/9/2015,22.6,3/13/2015,196.412854,0.211133122,90.996606
DO131,2,Batch4,10/15/2014,F,agouti,76.077032,0.5684,96.40028,89.78188,0.677799999,117.11948,99.293024,0.313599686,126.96612,2/9/2015,22.8,3/13/2015,170.793022,0.066425,40.486487
DO132,2,Batch6,10/15/2014,F,black,164.922152,0.81265,80.777148,83.326675,0.920299999,71.09827,121.214576,0.823165844,74.934784,2/11/2015,25.1,3/13/2015,170.691356,0.138366528,46.140888
DO133,2,Batch5,10/15/2014,F,agouti,138.154712,0.2814,136.286064,111.53185,0.498066666,94.23442,115.773056,0.29039971,130.115096,2/11/2015,23.5,3/13/2015,154.170631,0.080166587,129.135351
DO137,2,Batch6,10/15/2014,F,white,87.866096,1.093125,146.653488,94.78321,0.976699999,114.39336,83.486704,0.703399297,101.371536,2/11/2015,24.9,3/17/2015,156.051452,0.132699867,62.193315
DO138,2,Batch6,10/15/2014,F,agouti,84.164216,0.7453,121.2389,103.50646,0.632966666,135.41318,107.999456,0.962399038,114.809608,2/11/2015,20,3/17/2015,147.003178,0.087499913,55.817883
DO140,2,Batch5,10/15/2014,F,agouti,77.102168,0.6512,111.411446,105.71635,0.860066666,147.32202,103.801712,0.485132848,108.438424,2/11/2015,21,3/17/2015,108.522597,0.0276875,29.405379
DO141,2,Batch4,10/15/2014,F,white,105.521216,1.20255,212.457832,120.080635,2.107599998,106.03565,86.855264,0.34716632,100.492752,2/11/2015,25.8,3/17/2015,105.116786,0.019933313,34.604392
DO142,2,Batch5,10/15/2014,F,agouti,127.618592,1.20365,90.46061,123.569935,1.795799998,90.7909,133.70416,2.708697291,141.392824,2/11/2015,32.2,3/19/2015,256.700792,0.190166477,66.861042
DO143,2,Batch6,10/15/2014,F,chinchilla,94.187768,0.7509,191.542994,92.747785,0.849833332,137.67299,117.275952,2.008197992,154.501352,2/13/2015,21.8,3/19/2015,218.118545,0.100233233,103.519776
DO144,2,Batch5,10/15/2014,F,white,104.666936,1.2506,117.6391,112.055245,1.214099999,227.77843,87.684448,0.840332493,100.23644,2/13/2015,28.2,3/19/2015,133.379934,0.0328,67.088736
DO145,2,Batch5,10/15/2014,F,agouti,88.777328,1.290625,83.225012,100.424245,0.982799999,108.0085,94.266096,1.028665638,124.512848,2/13/2015,30.1,3/19/2015,214.661901,0.322033011,206.892852
DO146,2,Batch5,10/15/2014,F,chinchilla,92.991776,0.683275,80.20118,89.491105,0.721999999,61.7362,128.988176,1.104865562,102.06724,2/13/2015,23.3,3/23/2015,157.271444,0.107299893,76.082649
DO147,2,Batch4,10/15/2014,F,black,68.502416,0.55135,104.895808,63.84475,0.4654,113.56835,83.745824,0.379132954,112.100024,2/13/2015,22.9,3/23/2015,202.156983,0.0958125,83.179112
DO148,2,Batch6,10/15/2014,F,agouti,85.588016,0.8417,187.583214,72.858775,1.408566665,179.82024,75.868576,0.569666097,263.141024,2/13/2015,24.4,3/23/2015,127.127475,0.094275,81.471407
DO149,2,Batch4,10/15/2014,F,agouti,100.851152,0.50895,70.589714,96.29524,0.4946,85.33866,101.8324,0.234033099,96.355144,2/13/2015,20.1,3/23/2015,123.924996,0.050075,48.683471
DO150,2,Batch5,10/15/2014,F,agouti,96.921464,0.5789,116.451166,71.346745,0.420566666,103.23779,115.151168,0.481799518,77.35144,2/13/2015,20.6,3/25/2015,195.548693,2.005997994,77.107272
DO151,2,Batch6,10/15/2014,F,agouti,124.087568,0.9164,138.985914,99.3193,0.716433333,104.13454,93.851504,0.273933059,84.015552,2/13/2015,22.4,3/25/2015,83.004431,0.0463,34.642341
DO152,2,Batch5,10/15/2014,F,agouti,104.894744,1.90155,153.673098,117.46366,1.399433332,97.49859,110.072416,3.074830259,146.152904,2/13/2015,29.1,3/25/2015,190.41456,0.121333212,63.369734
DO153,2,Batch5,10/15/2014,F,agouti,110.134328,0.438825,105.075798,75.47575,0.736333333,118.80537,102.35064,0.66019934,163.655352,2/17/2015,19.9,3/25/2015,159.508096,0.125799874,51.036309
DO154,2,Batch6,10/15/2014,F,agouti,128.643728,0.871225,160.29673,95.539225,1.337999999,240.65576,97.68648,2.401797598,219.201824,2/17/2015,20.2,3/27/2015,203.376975,0.521932811,78.625232
DO155,2,Batch6,10/15/2014,F,white,97.66184,0.526575,81.82109,64.833385,0.494166666,77.519,76.075872,0.340732993,86.249128,2/17/2015,19.1,3/27/2015,81.530274,0.071799928,40.714181
DO156,2,Batch6,10/15/2014,F,agouti,113.32364,0.50745,154.753038,57.91294,0.637799999,141.7263,80.32544,0.411132922,106.021768,2/17/2015,27.3,3/27/2015,160.728088,0.0589,179.607521
DO157,2,Batch6,10/15/2014,F,agouti,102.388856,1.66845,107.307674,86.467045,0.822566666,103.56062,114.373808,1.251532082,99.723816,2/17/2015,24.1,3/27/2015,122.80667,0.200033133,50.808615
